"","names.NSDUH_2020."
"1","QUESTID2"
"2","filedate"
"3","cigever"
"4","cigofrsm"
"5","cigwilyr"
"6","cigtry"
"7","cigyfu"
"8","cigmfu"
"9","cigrec"
"10","CIG30USE"
"11","CG30EST"
"12","CIG30AV"
"13","CIG30BR2"
"14","CIG30TPE"
"15","CIG30MEN"
"16","CIG30MLN"
"17","CIG30RO2"
"18","cigdlymo"
"19","cigage"
"20","cigdlyfu"
"21","cigdlmfu"
"22","CIG100LF"
"23","smklssevr"
"24","smklsstry"
"25","smklssyfu"
"26","smklssmfu"
"27","smklssrec"
"28","SMKLSS30N"
"29","SMKLSS30E"
"30","cigarevr"
"31","cigartry"
"32","cigaryfu"
"33","cigarmfu"
"34","cigarrec"
"35","CGR30USE"
"36","CI30EST"
"37","CGR30BR2"
"38","pipever"
"39","PIPE30DY"
"40","alcever"
"41","alctry"
"42","alcyfu"
"43","alcmfu"
"44","alcrec"
"45","alcyrtot"
"46","altotfg"
"47","alfqflg"
"48","albstway"
"49","aldaypyr"
"50","aldaypmo"
"51","aldaypwk"
"52","alcdays"
"53","AL30EST"
"54","aldysfg"
"55","ALCUS30D"
"56","ALCBNG30D"
"57","mjever"
"58","mjage"
"59","mjyfu"
"60","mjmfu"
"61","mjrec"
"62","mjyrtot"
"63","mrtotfg"
"64","mjfqflg"
"65","mrbstway"
"66","mrdaypyr"
"67","mrdaypmo"
"68","mrdaypwk"
"69","MJDAY30A"
"70","MR30EST"
"71","cocever"
"72","cocage"
"73","cocyfu"
"74","cocmfu"
"75","cocrec"
"76","cocyrtot"
"77","cctotfg"
"78","ccfqflg"
"79","ccbstway"
"80","ccdaypyr"
"81","ccdaypmo"
"82","ccdaypwk"
"83","COCUS30A"
"84","CC30EST"
"85","crkever"
"86","crkage"
"87","crkyfu"
"88","crkmfu"
"89","crakrec"
"90","crkyrtot"
"91","crtotfg"
"92","crfqflg"
"93","crbstway"
"94","crdaypyr"
"95","crdaypmo"
"96","crdaypwk"
"97","CRKUS30A"
"98","CR30EST"
"99","herever"
"100","herage"
"101","heryfu"
"102","hermfu"
"103","herrec"
"104","heryrtot"
"105","hrtotfg"
"106","hrfqflg"
"107","hrbstway"
"108","hrdaypyr"
"109","hrdaypmo"
"110","hrdaypwk"
"111","HER30USE"
"112","HR30EST"
"113","lsd"
"114","pcp"
"115","peyote"
"116","mesc"
"117","psilcy"
"118","ecstmolly"
"119","ketminesk"
"120","dmtamtfxy"
"121","salviadiv"
"122","hallucoth"
"123","HALLUCOT1"
"124","HALLUCOT2"
"125","HALLUCOT3"
"126","HALLUCOT4"
"127","HALLUCOT5"
"128","hallucage"
"129","hallucevr"
"130","hallucyfu"
"131","hallucmfu"
"132","hallucrec"
"133","hallucyfq"
"134","haltotfg"
"135","halfqflg"
"136","halleaswy"
"137","halldysyr"
"138","halldypmo"
"139","halldypwk"
"140","HALLUC30N"
"141","HALLUC30E"
"142","lsdage"
"143","lsdyfu"
"144","lsdmfu"
"145","lsdrec"
"146","pcpage"
"147","pcpyfu"
"148","pcpmfu"
"149","pcprec"
"150","ecstmoage"
"151","ecstmoyfu"
"152","ecstmomfu"
"153","ecstmorec"
"154","ketminrec"
"155","damtfxrec"
"156","salviarec"
"157","amylnit"
"158","cleflu"
"159","gas"
"160","glue"
"161","ether"
"162","solvent"
"163","lgas"
"164","nitoxid"
"165","feltmarkr"
"166","sppaint"
"167","airduster"
"168","othaeros"
"169","inhaloth"
"170","INHALOT1"
"171","INHALOT2"
"172","INHALOT3"
"173","INHALOT4"
"174","INHALOT5"
"175","inhalever"
"176","inhalage"
"177","inhalyfu"
"178","inhalmfu"
"179","inhalrec"
"180","inhalyfq"
"181","inhtotfg"
"182","inhfqflg"
"183","inheaswy"
"184","inhdysyr"
"185","inhdypmo"
"186","inhdypwk"
"187","INHAL30N"
"188","INHAL30ES"
"189","methamevr"
"190","methamage"
"191","methamyfu"
"192","methammfu"
"193","methamrec"
"194","methamyfq"
"195","metotfg"
"196","mefqflg"
"197","metheaswy"
"198","methdysyr"
"199","methdypmo"
"200","methdypwk"
"201","METHAM30N"
"202","METHAM30E"
"203","oxcnanyyr"
"204","pnranylif"
"205","pnranyrec"
"206","trqanylif"
"207","trqanyrec"
"208","stmanylif"
"209","stmanyrec"
"210","sedanylif"
"211","sedanyrec"
"212","pnrnmlif"
"213","oxcnnmyr"
"214","oxcnnmage"
"215","oxcnnmyfu"
"216","oxcnnmmfu"
"217","pnrnmrec"
"218","pnrnminit"
"219","pnrnmage"
"220","pnrnmyfu"
"221","pnrnmmfu"
"222","PNRNM30D"
"223","PNRNM30FQ"
"224","PNRNM30ES"
"225","PNRNM30AL"
"226","pnrwynorx"
"227","pnrwygamt"
"228","pnrwyoftn"
"229","pnrwylngr"
"230","pnrwyotwy"
"231","PNRNMLAS1"
"232","pnrrspain"
"233","pnrrsrelx"
"234","pnrrsexpt"
"235","pnrrshigh"
"236","pnrrsslep"
"237","pnrrsemot"
"238","pnrrsdgfx"
"239","pnrrshook"
"240","pnrrssor"
"241","PNRRSOTRS2"
"242","pnrrsmain"
"243","pnrnorxfg"
"244","trqnmlif"
"245","trqnmrec"
"246","trqnminit"
"247","trqnmage"
"248","trqnmyfu"
"249","trqnmmfu"
"250","TRQNM30D"
"251","TRQNM30FQ"
"252","TRQNM30ES"
"253","TRQNM30AL"
"254","trqwynorx"
"255","trqwygamt"
"256","trqwyoftn"
