"","V1"
"CASEID","Case identification number"
"STATE","State abbreviations"
"STFIPS","Census state FIPS code"
"DETOX","Facility offers detoxification"
"TREATMT","Facility offers substance abuse treatment"
"SMISEDSUD","Facility offers treatment for co-occurring serious mental illness (SMI)/serious emotional disturbance (SED) and substance use disorders"
"OWNERSHP","Organization that operates the facility"
"FEDOWN","Federal government agency that operates the facility"
"HOSPITAL","Facility is a hospital or located in or operated by a hospital"
"LOCS","Type of hospital"
"LOC5","Facility operates transitional housing or a halfway house for substance abuse clients"
"OTP","Facility operates an opioid treatment program"
"ASSESSMENT","Number of assessment and pre-treatment services offered"
"TESTING","Number of testing services offered by this facility"
"MEDICAL","Number of medical services offered"
"TRANSITION","Number of transitional services offered by this facility"
"RECOVERY","Number of recovery support services offered"
"EDUCATION","Number of education and counseling services offered"
"ANCILLARY","Number of ancillary services offered"
"OTHER_SRVC","Number of other services offered by this facility"
"PHARMACOTHERAPIES","Number of pharmacotherapies services offered"
"SRVC89","Facility offers screening for substance abuse"
"SRVC90","Facility offers screening for mental health disorders"
"SRVC1","Facility offers comprehensive substance abuse assessment or diagnosis"
"SRVC2","Facility offers comprehensive mental health assessment or diagnosis"
"SRVC107","Facility offers screening for tobacco use"
"SRVC91","Facility offers outreach to persons in the community who may need treatment"
"SRVC93","Facility offers interim services for clients when immediate admission is not possible"
"SRVCEDCON","Facility offers professional interventionist/educational consultant"
"SRVCORAL","Facility offers drug and alcohol oral fluid testing"
"SRVC10","Facility offers breathalyzer or other blood alcohol testing"
"SRVC11","Facility offers drug or alcohol urine screening"
"SRVC73","Facility offers screening for hepatitis B"
"SRVC74","Facility offers screening for hepatitis C"
"SRVC14","Facility offers HIV testing"
"SRVC15","Facility offers STD testing"
"SRVC16","Facility offers TB screening"
"SRVCMETA","Facility offers testing for metabolic syndrome"
"SRVCHAV","Facility offers hepatitis A (HAV) vaccination"
"SRVCHBV","Facility offers hepatitis B (HBV) vaccination"
"SRVC37","Facility offers discharge planning"
"SRVC27","Facility offers aftercare/continuing care"
"SRVCODED","Facility offers naloxone and overdose education"
"SRVCOUTCM","Facility offers outcome follow-up after discharge"
"SRVC97","Facility offers mentoring/peer support"
"SRVC102","Facility offers self-help groups"
"SRVC39","Facility offers assistance in locating housing for clients"
"SRVC38","Facility offers employment counseling or training for clients"
"SRVC36","Facility offers assistance with obtaining social services (for example, Medicaid, WIC, SSI, SSDI)"
"SRVCCOACH","Facility offers recovery coach"
"SRVC24","Facility offers HIV or AIDS education, counseling, or support"
"SRVC104","Facility offers hepatitis education, counseling, or support"
"SRVC99","Facility offers health education other than HIV/AIDS or hepatitis"
"SRVC100","Facility offers substance abuse education"
"SRVC105","Facility offers smoking/tobacco cessation counseling"
"SRVC6","Facility offers individual counseling"
"SRVC5","Facility offers group counseling"
"SRVC4","Facility offers family counseling"
"SRVC103","Facility offers marital/couples counseling"
"SRVCVOCED","Facility offers vocational training or educational support"
"SRVC49","Facility offers case management services"
"SRVC96","Facility offers social skills development"
"SRVC50","Facility offers child care for clients' children"
"SRVC52","Facility offers domestic (family or partner) violence services"
"SRVC98","Facility offers early intervention for HIV"
"SRVC59","Facility offers transportation assistance to treatment"
"SRVC101","Facility offers mental health services"
"SRVC48","Facility offers acupuncture"
"SRVC75","Facility offers residential beds for clients' children"
"SRVC117","Facility offers treatment services for gambling disorder"
"SRVC118","Facility offers treatment services for Internet use disorder"
"SRVC119","Facility offers treatment services for other addiction disorder (non-substance abuse)"
"SRVC70","Facility offers disulfram (Antabuse®) pharmacotherapy services"
"SRVC71","Facility offers naltrexone (oral) pharmacotherapy services"
"SRVC108","Facility offers naltrexone (extended-release, injectable, for example, Vivitrol®) pharmacotherapy services"
"SRVC88","Facility offers acamprosate (Campral®) pharmacotherapy services"
"SRVC94","Facility offers nicotine replacement pharmacotherapy services"
"SRVC106","Facility offers non-nicotine smoking/tobacco cessation medications (for example, bupropion, varenicline)"
"SRVC95","Facility offers medications for psychiatric disorders"
"SRVC85","Facility offers methadone pharmacotherapy services"
"SRVC87","Facility offers buprenorphine with naloxone pharmacotherapy services"
"SRVC86","Facility offers buprenorphine without naloxone pharmacotherapy services"
"SRVC129","Facility offers buprenorphine sub-dermal implant (Probuphine®) pharmacotherapy services"
"SRVC130","Facility offers buprenorphine (extended-release, injectable, for example, Sublocade®) pharmacotherapy services"
"SRVCMEDHIV","Facility offers medications for HIV treatment (for example, antiretroviral medications such as tenofovir, efavirenz, emtricitabine, atazanavir, and lamivudine)"
"SRVCMEDHCV","Facility offers medications for hepatitis C (HCV) treatment (for example, sofosbuvir, ledipasvir, interferon, peginterferon, ribavirin)"
"SRVCMEDLOFE","Facility offers lofexidine pharmacotherapy services"
"SRVCMEDCLON","Facility offers clonidine pharmacotherapy services"
"SRVC30","Facility has a tailored program for adolescents"
"SRVC120","Facility has a tailored program for young adults"
"SRVC34","Facility has a tailored program for adult women"
"SRVC33","Facility has a tailored program for pregnant/postpartum women"
"SRVC64","Facility has a tailored program for adult men"
"SRVC63","Facility has a tailored program for seniors or older adults"
"SRVC62","Facility has a tailored program for lesbian, gay, bisexual, transgender (LGBT) clients"
"SRVC113","Facility has a tailored program for veterans"
"SRVC114","Facility has a tailored program for active duty military"
"SRVC115","Facility has a tailored program for members of military families"
"SRVC61","Facility has a tailored program for criminal justice clients (other than DUI/DWI)"
"SRVC31","Facility has a tailored program for clients with co-occurring mental and substance use disorders"
"SRVCPAINSA","Facility has a tailored program for clients with co-occurring pain and substance use disorders"
"SRVC32","Facility has a tailored program for clients with HIV or AIDS"
"SRVC121","Facility has a tailored program for clients who have experienced sexual abuse"
"SRVC122","Facility has a tailored program for clients who have experienced intimatepartner violence, domestic violence"
"SRVC116","Facility has a tailored program for clients who have experienced trauma"
"SRVC35","Facility has a tailored program for other types of clients"
"CTYPE4","Facility offers any hospital inpatient substance abuse service"
"CTYPEHI1","Facility offers hospital inpatient detoxification"
"CTYPEHI2","Facility offers hospital inpatient treatment services"
"CTYPE7","Facility offers non-hospital residential treatment services"
"CTYPERC1","Facility offers non-hospital residential detoxification"
"CTYPERC3","Facility offers non-hospital residential short-term treatment"
"CTYPERC4","Facility offers non-hospital residential long-term treatment"
"CTYPE1","Facility offers any outpatient substance abuse service"
"CTYPE6","Facility offers outpatient detoxification"
